latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,brightness
-31.66212,152.04483,346.98,0.43,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,278.29,6.52,D,346.98
-31.5915,147.91138,346.56,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,302.19,5.82,D,346.56
-31.58812,147.91072,339.26,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,301.9,3.96,D,339.26
-31.40915,146.61226,335.59,0.42,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,305.45,3.82,D,335.59
-31.40625,146.60716,346.98,0.42,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,306.07,3.82,D,346.98
-31.39566,152.81944,326.75,0.46,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,287.83,1.98,D,326.75
-31.34618,147.97273,326.98,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,297.72,1.98,D,326.98
-31.2941,145.5778,349.33,0.46,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,310.98,15.68,D,349.33
-31.2935,145.58266,337.2,0.46,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,308.33,7.69,D,337.2
-31.18266,151.46849,344.57,0.42,0.37,2025-09-04,351,N,VIIRS,60,2.0NRT,296.27,22.61,D,344.57
-31.17922,151.46773,339.95,0.42,0.37,2025-09-04,351,N,VIIRS,60,2.0NRT,289.31,22.61,D,339.95
-31.11764,151.31995,333.64,0.41,0.37,2025-09-04,351,N,VIIRS,60,2.0NRT,290.45,3.94,D,333.64
-31.10058,152.87463,333.88,0.46,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,295.7,3.62,D,333.88
-31.09706,152.12274,325.7,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,284.53,8.71,D,325.7
-31.09354,152.12186,342.86,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,290.72,8.71,D,342.86
-31.09271,152.12653,367.0,0.44,0.38,2025-09-04,351,N,VIIRS,80,2.0NRT,292.54,8.71,D,367.0
-31.09189,152.13116,325.27,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,285.62,3.57,D,325.27
-31.08755,152.13492,328.27,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,284.43,25.73,D,328.27
-31.08569,152.12473,345.58,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,291.56,15.06,D,345.58
-31.08486,152.12946,349.53,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,301.68,25.73,D,349.53
-31.08463,152.11012,352.51,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,298.3,9.83,D,352.51
-31.08401,152.1342,357.18,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,293.26,25.73,D,357.18
-31.08218,152.12389,354.04,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,297.49,17.65,D,354.04
-31.0819,152.10486,344.61,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,298.06,7.43,D,344.61
-31.0811,152.10933,344.21,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,291.81,9.83,D,344.21
-31.08046,152.13348,337.12,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,288.88,11.61,D,337.12
-31.07865,152.12309,328.98,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,290.1,17.65,D,328.98
-30.93881,152.17422,345.35,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,290.93,4.76,D,345.35
-30.93796,152.17897,346.35,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,290.87,4.76,D,346.35
-30.93615,152.16858,348.29,0.44,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,291.6,4.21,D,348.29
