id,text,cluster,cluster_size
112,"Fire detection: Lat=-31.666, Lon=152.046, Brightness=328.1, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
113,"Fire detection: Lat=-31.662, Lon=152.045, Brightness=347.0, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
114,"Fire detection: Lat=-31.591, Lon=147.911, Brightness=346.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",4,1714
115,"Fire detection: Lat=-31.588, Lon=147.911, Brightness=339.3, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",4,1714
116,"Fire detection: Lat=-31.409, Lon=146.612, Brightness=335.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
117,"Fire detection: Lat=-31.406, Lon=146.607, Brightness=347.0, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
118,"Fire detection: Lat=-31.396, Lon=152.819, Brightness=326.8, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
119,"Fire detection: Lat=-31.346, Lon=147.973, Brightness=327.0, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
120,"Fire detection: Lat=-31.294, Lon=145.578, Brightness=349.3, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",4,1714
121,"Fire detection: Lat=-31.294, Lon=145.583, Brightness=337.2, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",4,1714
122,"Fire detection: Lat=-31.183, Lon=151.468, Brightness=344.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
123,"Fire detection: Lat=-31.179, Lon=151.468, Brightness=339.9, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
124,"Fire detection: Lat=-31.118, Lon=151.320, Brightness=333.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
125,"Fire detection: Lat=-31.101, Lon=152.875, Brightness=333.9, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
126,"Fire detection: Lat=-31.097, Lon=152.123, Brightness=325.7, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
127,"Fire detection: Lat=-31.094, Lon=152.122, Brightness=342.9, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
